gene_id,SEQ_ID,FEAT_TYPE,FUNCTION,DESCRIPTION,COMMENTS,ACCESSION,MAPLOC,gene,WT_1,WT_2,WT_3,512_1,512_2,512_3
b0891,TI83333S000861,CDS,outer-membrane lipoprotein carrier protein precursor,participates with LolB in the incorporation of lipoprotein into the outer membrane; go_component: periplasmic space [goid 0042597],"Escherichia coli K12, complete genome.",NC_000913,936592-937206,b0891,14.59332808,14.45162609,14.60310909,14.18452157,14.235791,14.47159531
b0892,TI83333S000862,CDS,putative polynucleotide enzyme,,"Escherichia coli K12, complete genome.",NC_000913,937217-938560,b0892,12.35426432,12.33583095,12.36868548,12.05369506,12.08226522,12.19731239
b0893,TI83333S000863,CDS,seryl-tRNA synthetase,"catalyzes a two-step reaction, first charging a serine molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA; go_component: cytoplasm [goid 0005737]; go_process: amino acid activation [goid 0006418]","Escherichia coli K12, complete genome.",NC_000913,938651-939943,b0893,14.24865999,14.28473715,14.44325237,14.60651493,14.73792476,14.86865156
b0894,TI83333S000864,CDS,"anaerobic dimethyl sulfoxide (DMSO) reductase, subunit A",EcoGene suggests alternate start codon; anaerobic dimethyl sulfoxide reductase subunit A; go_component: inner membrane [goid 0019866]; go_function: electron acceptor activity [goid 0009054]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,940269-942626,b0894,11.90936387,11.22738626,12.87377764,12.60618741,12.96696007,14.06183651
b0895,TI83333S000865,CDS,"anaerobic dimethyl sulfoxide (DMSO) reductase, subunit B",anaerobic dimethyl sulfoxide reductase subunit B; go_component: inner membrane [goid 0019866]; go_function: electron acceptor activity [goid 0009054]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,942637-943254,b0895,8.931535285,8.820661775,9.875381167,9.68972507,10.12146974,10.90998038
b0896,TI83333S000866,CDS,"anaerobic dimethyl sulfoxide (DMSO) reductase, subunit C",anaerobic dimethyl sulfoxide reductase subunit C; go_component: inner membrane [goid 0019866]; go_function: electron acceptor activity [goid 0009054]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,943256-944119,b0896,8.182043138,8.300334999,8.575033323,8.575473322,8.873130773,9.202878879
b0897,TI83333S000867,CDS,putative cysteine hydrolase,go_process: amino acid catabolism [goid 0009063],"Escherichia coli K12, complete genome.",NC_000913,944154-944780,b0897,12.21658861,12.02525429,12.45901823,11.86215648,11.79784422,11.97111934
b0898,TI83333S000868,CDS,putative MFS family transporter protein,go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,945094-946242,b0898,9.280791724,9.328664806,9.267578003,9.288917387,9.283967131,9.184949064
b0899,TI83333S000869,CDS,putative amino-acid transport protein (APC family),EcoGene suggests alternate start codon; putative transporter; go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,946260-947882,b0899,8.51541441,8.351222778,8.522269701,8.551695269,8.543201305,8.703018408
b0900,TI83333S000870,CDS,putative transcriptional regulator (LysR family),putative transcriptional regulator LYSR-type; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,947883-948791,b0900,8.241873259,7.965805525,8.43803136,8.324282895,8.454706044,8.775662753
b0901,TI83333S000871,CDS,putative electron transfer flavoprotein-NAD/FAD/quinone oxidoreductase,go_function: electron carrier activity [goid 0009055],"Escherichia coli K12, complete genome.",NC_000913,948891-949481,b0901,11.04270339,10.84399544,10.91123508,11.23638179,11.23883369,11.38947169
b0902,TI83333S000872,CDS,pyruvate formate lyase activating enzyme 1,go_component: cytoplasm [goid 0005737]; go_process: anaerobic respiration [goid 0009061]; go_process: protein modification [goid 0006464],"Escherichia coli K12, complete genome.",NC_000913,949563-950303,b0902,12.4246158,12.32913963,12.38193313,12.33770923,12.48425664,12.42784335
b0903,TI83333S000873,CDS,formate acetyltransferase 1,"pyruvate formate lyase I, induced anaerobically; go_component: cytoplasm [goid 0005737]; go_process: anaerobic respiration [goid 0009061]; go_process: amino acid catabolism [goid 0009063]","Escherichia coli K12, complete genome.",NC_000913,950495-952777,b0903,15.08201992,15.1838428,15.31042034,15.30159405,15.25711091,15.78860037
b0904,TI83333S000874,CDS,formate transport protein (formate channel 1) (FNT family),probable formate transporter (formate channel 1); go_component: inner membrane [goid 0019866]; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,952832-953689,b0904,15.54783256,15.13137336,15.54940469,15.40501833,15.39995697,15.35777628
b0905,TI83333S000875,CDS,hypothetical protein,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,954095-955864,b0905,11.29687178,11.72467693,11.28197757,11.93853399,11.48079779,11.36654009
b0906,TI83333S000876,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,955985-956677,b0906,12.75168972,12.52481086,12.49478635,12.36133719,12.45960072,12.53429936
b0907,TI83333S000877,CDS,phosphoserine aminotransferase,catalyzes the formation of 3-phosphonooxypyruvate and glutamate from O-phospho-L-serine and 2-oxoglutarate; go_component: cytoplasm [goid 0005737]; go_process: L-serine biosynthesis [goid 0006564],"Escherichia coli K12, complete genome.",NC_000913,956876-957964,b0907,15.67879786,15.83000541,15.21340557,15.68229475,15.33143985,15.07035577
b0908,TI83333S000878,CDS,3-phosphoshikimate 1-carboxyvinyltransferase,catalyzes the formation of 5-O-(1-carboxyvinyl)-3-phosphoshikimate from phosphoenolpyruvate and 3-phosphoshikimate in tryptophan biosynthesis; go_process: chorismate biosynthesis [goid 0009423],"Escherichia coli K12, complete genome.",NC_000913,958035-959318,b0908,14.61234607,14.75087876,14.24318981,14.66574082,14.39631481,14.05783021
b0909,TI83333S000879,CDS,putative heat shock protein,EcoGene suggests alternate start codon; go_process: response to temperature [goid 0009266],"Escherichia coli K12, complete genome.",NC_000913,959463-960251,b0909,8.686921531,8.589249909,8.545552191,8.647107255,8.579500302,8.64275785
b0910,TI83333S000880,CDS,cytidylate kinase,"catalyzes the formation of (d)CDP from ATP and (d)CMP; go_component: cytoplasm [goid 0005737]; go_process: nucleobase, nucleoside and nucleotide interconversion [goid 0015949]","Escherichia coli K12, complete genome.",NC_000913,960424-961107,b0910,12.51483198,12.82675195,12.33533272,12.80998327,12.314169,12.32483504
b0911,TI83333S000881,CDS,30S ribosomal protein S1,Binds mRNA to the ribosomes and plays a role in delivering transfer-messenger RNA to stalled ribosomes; go_component: cytosolic ribosome (sensu Bacteria) [goid 0009281]; go_component: cytoplasm [goid 0005737]; go_function: structural constituent of ribosome [goid 0003735]; go_process: protein biosynthesis [goid 0006412],"Escherichia coli K12, complete genome.",NC_000913,961218-962891,b0911,16.88936261,17.11791833,16.5989833,16.99804083,16.49357575,16.18969216
b0912,TI83333S000882,CDS,integration host factor beta subunit,"This protein is one of the two subunits of integration host factor, a specific DNA-binding protein that functions in genetic recombination as well as in transcriptional and translational control; go_component: cytoplasm [goid 0005737]; go_process: DNA recombination [goid 0006310]","Escherichia coli K12, complete genome.",NC_000913,963051-963335,b0912,15.72702869,15.52974865,15.88068376,15.53163391,15.59393482,15.76112259
b0913,TI83333S000883,CDS,"putative recombination protein, metallo-hydrolase domain",EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,963465-965807,b0913,8.055983228,8.086254639,8.125541509,8.250502795,8.293602003,8.249179977
b0914,TI83333S000884,CDS,ATP-binding transport protein; multicopy suppressor of htrB,"multidrug transport protein (ABC superfamily, membrane (N-terminal), atp_bind (C-terminal)); go_component: inner membrane [goid 0019866]","Escherichia coli K12, complete genome.",NC_000913,965844-967592,b0914,11.67115677,12.07249154,11.57758846,12.10713362,11.85162954,11.59484937
b0915,TI83333S000885,CDS,tetraacyldisaccharide 4'-kinase,"Transfers the gamma-phosphate of ATP to the 4' position of a tetraacyldisaccharide 1-phosphate intermediate to form tetraacyldisaccharide 1,4'-bis-phosphate; go_component: capsule (sensu Bacteria) [goid 0030113]; go_component: inner membrane [goid 0019866]; go_function: cell surface antigen activity, host-interacting [goid 0042280]; go_process: lipopolysaccharide core region biosynthesis [goid 0009244]; go_process: lipid A biosynthesis [goid 0009245]; go_process: K antigen biosynthesis [goid 0009248]","Escherichia coli K12, complete genome.",NC_000913,967589-968575,b0915,11.49105196,11.58020953,11.23052022,11.68083886,11.50283534,11.16724977
b0916,TI83333S000886,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,968612-969844,b0916,9.875423959,9.885769546,9.682053328,10.14004904,9.931618531,9.676804933
b0917,TI83333S000887,CDS,unknown CDS,,"Escherichia coli K12, complete genome.",NC_000913,969896-970078,b0917,13.41625802,13.45234457,13.4282937,13.49596931,13.50004361,13.43283093
b0918,TI83333S000888,CDS,3-deoxy-manno-octulosonate cytidylyltransferase,"catalyzes the formation of CMP-3-deoxy-D-manno-octulosonate from CTP and 3-deoxy-D-manno-octulosonate which is incorporated into LPS; go_component: capsule (sensu Bacteria) [goid 0030113]; go_component: cytoplasm [goid 0005737]; go_function: cell surface antigen activity, host-interacting [goid 0042280]; go_process: lipopolysaccharide core region biosynthesis [goid 0009244]; go_process: lipid A biosynthesis [goid 0009245]; go_process: K antigen biosynthesis [goid 0009248]","Escherichia coli K12, complete genome.",NC_000913,970075-970821,b0918,12.93713175,13.04917835,13.08644517,13.07633729,13.05754839,12.98948199
b0919,TI83333S000889,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,970975-971868,b0919,11.77181736,11.49053195,12.48969211,12.57369205,12.70268004,12.99953523
b0920,TI83333S000890,CDS,putative enzyme,,"Escherichia coli K12, complete genome.",NC_000913,971845-972624,b0920,9.965207673,9.918109299,9.976909465,10.05215513,9.959289787,9.931614379
b0921,TI83333S000891,CDS,S-adenosylmethionine-dependentmethyltransferase,go_process: glycerol metabolism [goid 0006071],"Escherichia coli K12, complete genome.",NC_000913,972760-973545,b0921,12.92933508,12.99557782,12.99117548,13.14322194,13.17132058,13.27048294
b0922,TI83333S000892,CDS,condesin subunit F,acts with MukB and MukE to condense the chromosome and allow for segregation during cell division,"Escherichia coli K12, complete genome.",NC_000913,973542-974864,b0922,12.20906443,12.40567461,12.25526622,12.56015772,12.72365337,12.60112826
b0923,TI83333S000893,CDS,condesin subunit E,acts with MukB and MukF to condense the chromosome and allow for segregation during cell division,"Escherichia coli K12, complete genome.",NC_000913,974872-975549,b0923,12.39805951,12.6486555,12.28147426,12.69980515,12.73709826,12.59825687
b0924,TI83333S000894,CDS,condesin subunit B,the structural maintenance of chromosomes (SMC) moiety of the condensin MukBEF,"Escherichia coli K12, complete genome.",NC_000913,975549-980009,b0924,12.81441948,12.8854458,12.81098933,13.16726734,13.2501153,12.99734255
b0925,TI83333S000895,CDS,putative amidase,putative carboxypeptidase (N-terminal),"Escherichia coli K12, complete genome.",NC_000913,980270-982117,b0925,12.07346041,11.95460897,12.54420579,12.01652116,12.35561923,12.63129092
b0926,TI83333S000896,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,982298-982846,b0926,14.52296774,14.35210446,14.33564417,14.36332738,14.33817047,14.40578177
b0927,TI83333S000897,CDS,putative enzyme,,"Escherichia coli K12, complete genome.",NC_000913,982873-983520,b0927,13.50178972,13.49204004,13.32055784,13.48343413,13.44870403,13.46013191
b0928,TI83333S000898,CDS,aspartate aminotransferase,catalyzes the formation of L-glutamate and oxaloacetate from L-aspartate and 2-oxoglutarate; go_component: cytoplasm [goid 0005737]; go_process: amino acid catabolism [goid 0009063]; go_process: aspartate biosynthesis [goid 0006532],"Escherichia coli K12, complete genome.",NC_000913,983742-984932,b0928,14.68235545,14.85056142,14.59924026,14.6602833,14.49549838,14.43778083
b0929,TI83333S000899,CDS,outer membrane pore protein 1a (Ia;b;F),outer membrane protein 1a (Ia;b;F); go_component: external outer membrane (sensu Gram-negative Bacteria) [goid 0009279],"Escherichia coli K12, complete genome.",NC_000913,985117-986205,b0929,16.09994633,15.98675933,15.76188224,16.26526747,16.05116824,16.1363246
b0930,TI83333S000900,CDS,asparaginyl-tRNA synthetase,"Catalyzes a two-step reaction, first charging an asparagine molecule by linking its carboxyl group to the alpha-phosphate of ATP, followed by transfer of the aminoacyl-adenylate to its tRNA; go_component: cytoplasm [goid 0005737]; go_process: amino acid activation [goid 0006418]","Escherichia coli K12, complete genome.",NC_000913,986808-988208,b0930,14.49283659,14.74539296,14.21484731,14.50700159,14.3341326,13.69790679
b0931,TI83333S000901,CDS,nicotinate phosphoribosyltransferase,catalyzes the formation of nictonate and 5-phospho-alpha-D-ribose 1-diphosphate from nicotinate D-ribonucleotide and diphosphate; go_component: periplasmic space [goid 0042597]; go_process: nicotinamide adenine dinucleotide biosynthesis [goid 0009435],"Escherichia coli K12, complete genome.",NC_000913,988377-989579,b0931,13.35842952,13.77454694,13.39390231,13.52799801,13.30082911,13.37765098
b0932,TI83333S000902,CDS,aminopeptidase N,"aminopeptidase N, a cysteinylglycinase","Escherichia coli K12, complete genome.",NC_000913,989845-992457,b0932,13.02613074,13.1109291,13.22582971,13.17996367,13.24350508,13.45507627
b0933,TI83333S000903,CDS,"alkanesulfonate transport protein (ABC superfamily, atp_bind)",probable ATP-binding component of ABC transporter; go_component: cytoplasm [goid 0005737]; go_process: sulfur metabolism [goid 0006790],"Escherichia coli K12, complete genome.",NC_000913,992500-993267,b0933,9.989538935,10.03930228,9.947597642,10.05125794,10.10498686,10.06082831
b0934,TI83333S000904,CDS,"alkanesulfonate transport protein (ABC superfamily, membrane)",EcoGene suggests alternate start codon; probable permease component of ABC transporter; go_component: periplasmic space [goid 0042597]; go_process: phosphorus metabolism [goid 0006793],"Escherichia coli K12, complete genome.",NC_000913,993264-994100,b0934,10.89237651,10.91631464,10.86536015,10.96897403,11.03676836,11.04602489
b0935,TI83333S000905,CDS,alkanesulfonate monooxygenase,catalyzes the release of sulfite from alkanesulfonates; go_process: sulfur metabolism [goid 0006790],"Escherichia coli K12, complete genome.",NC_000913,994066-995211,b0935,10.46293748,10.36923649,10.29781745,10.55490072,10.56549897,10.43479741
b0936,TI83333S000906,CDS,"alkanesulfonate transport protein (ABC superfamily, peri_bind)",EcoGene suggests alternate start codon; putative aliphatic sulfonates binding protein; go_component: periplasmic space [goid 0042597]; go_process: phosphorus metabolism [goid 0006793],"Escherichia coli K12, complete genome.",NC_000913,995208-996209,b0936,7.723794444,7.788206392,7.640733849,7.848211431,7.757590467,7.706909832
b0937,TI83333S000907,CDS,NAD(P)H-dependent FMN reductase,"NAD(P)H-dependent FMN reductase, sulfate starvation-induced protein; go_function: electron carrier activity [goid 0009055]; go_process: sulfur metabolism [goid 0006790]; go_process: response to starvation [goid 0042594]","Escherichia coli K12, complete genome.",NC_000913,996160-996735,b0937,7.480312385,7.761803784,7.48930106,7.664696445,7.487197523,7.476881176
b0938,TI83333S000908,CDS,putative fimbrial-like protein,EcoGene suggests alternate start codon; go_component: fimbria [goid 0009289],"Escherichia coli K12, complete genome.",NC_000913,997082-997630,b0938,7.999288722,7.723724513,7.853783531,7.928511739,7.954748489,8.21164721
b0939,TI83333S000909,CDS,putative fimbrial chaperone,putative periplasmic chaperone; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,997713-998414,b0939,7.077043757,7.009653999,6.975269846,7.112324818,7.057888569,7.104243428
b0940,TI83333S000910,CDS,putative outer membrane usher protein,go_component: external outer membrane (sensu Gram-negative Bacteria) [goid 0009279],"Escherichia coli K12, complete genome.",NC_000913,998439-1001039,b0940,9.044811744,8.976889145,8.943149796,9.074408619,9.150507114,9.254539832
b0941,TI83333S000911,CDS,putative fimbrial-like protein,go_component: fimbria [goid 0009289],"Escherichia coli K12, complete genome.",NC_000913,1001030-1002100,b0941,8.635361572,8.582679727,8.579347597,8.663277472,8.711841483,8.833438458
b0942,TI83333S000912,CDS,putative fimbrial-like protein,go_component: fimbria [goid 0009289],"Escherichia coli K12, complete genome.",NC_000913,1002112-1002654,b0942,10.93587522,10.84241249,10.78990656,10.95206061,11.06544826,11.03826823
b0943,TI83333S000913,CDS,putative fimbrial-like protein,EcoGene suggests alternate start codon; go_component: fimbria [goid 0009289],"Escherichia coli K12, complete genome.",NC_000913,1002614-1003177,b0943,8.255960592,8.189443519,8.176854161,8.423941229,8.358898173,8.419593708
b0944,TI83333S000914,CDS,putative fimbrial chaperone,EcoGene suggests alternate start codon; putative periplasmic chaperone; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,1003143-1003880,b0944,9.643002125,9.395514188,9.441597349,9.63603959,9.75414652,9.765529593
b0945,TI83333S000915,CDS,dihydroorotate dehydrogenase,Catalyzes (S)-dihydroorotate + O(2) = orotate + H(2)O(2) in the pyrimidine biosynthesis pathway; go_component: cytoplasm [goid 0005737]; go_process: pyrimidine nucleotide biosynthesis [goid 0006221],"Escherichia coli K12, complete genome.",NC_000913,1003991-1005001,b0945,12.022226,12.99481434,11.84161868,13.53626781,12.38599487,11.7661588
b0946,TI83333S000916,CDS,hypothetical protein,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1005139-1005717,b0946,11.71408218,11.69093483,11.88636518,12.00346976,11.85277979,11.90599358
b0947,TI83333S000917,CDS,putative Fe-S protein,go_function: electron carrier activity [goid 0009055],"Escherichia coli K12, complete genome.",NC_000913,1005714-1006823,b0947,11.1793695,11.32501982,11.27264903,11.66465536,11.58898624,11.73399668
b0948,TI83333S000918,CDS,putative methyltransferase,putative oxidoreductase,"Escherichia coli K12, complete genome.",NC_000913,1007067-1009175,b0948,11.31084351,11.74934669,11.25202111,11.67666732,11.3928047,11.19210482
b0949,TI83333S000919,CDS,putative ATP-binding component of a transport system,"putative transport protein (ABC superfamily, atp_bind); go_component: cytoplasm [goid 0005737]","Escherichia coli K12, complete genome.",NC_000913,1009187-1011094,b0949,12.43657541,12.41431413,12.18369114,12.63731032,12.39142659,12.44675127
b0950,TI83333S000920,CDS,paraquat-inducible protein A,"paraquat-inducible protein A, membrane","Escherichia coli K12, complete genome.",NC_000913,1011224-1012477,b0950,11.19990458,11.24192183,11.18057876,11.29586781,11.36798156,11.20485822
b0951,TI83333S000921,CDS,paraquat-inducible protein B,,"Escherichia coli K12, complete genome.",NC_000913,1012482-1014122,b0951,10.97952216,11.19923447,10.81390221,11.16867402,11.08907168,11.18792724
b0952,TI83333S000922,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1014134-1014682,b0952,12.16809717,12.14972071,11.9852263,12.23118643,12.18869545,12.2181458
b0953,TI83333S000923,CDS,ribosome modulation factor,go_component: cytosolic ribosome (sensu Bacteria) [goid 0009281]; go_component: cytoplasm [goid 0005737]; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,1014938-1015105,b0953,16.48426101,16.06364072,16.54269031,16.00766643,16.25181622,16.34379213
b0954,TI83333S000924,CDS,3-hydroxydecanoyl-ACP dehydratase,"catalyzes the dehydration of (3R)-3-hydroxydecanoyl-ACP to 2,3-decenoyl-ACP or 3,4-decenoyl-ACP","Escherichia coli K12, complete genome.",NC_000913,1015175-1015693,b0954,14.25364977,14.29381692,13.97010642,14.21533973,13.96219104,13.7887795
b0955,TI83333S000925,CDS,putative ATP-dependent protease,go_process: proteolysis and peptidolysis [goid 0006508],"Escherichia coli K12, complete genome.",NC_000913,1015762-1017522,b0955,12.56104062,12.65543979,12.54974304,12.92018392,12.76121994,12.86044946
b0956,TI83333S000926,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1017708-1018160,b0956,10.5912882,10.38782304,10.70857196,10.85455999,10.83730027,11.32865437
b0957,TI83333S000927,CDS,outer membrane protein 3a (II*;G;d),go_component: external outer membrane (sensu Gram-negative Bacteria) [goid 0009279],"Escherichia coli K12, complete genome.",NC_000913,1018236-1019276,b0957,17.05819454,16.894347,17.1316891,17.11996944,17.29879025,16.99709037
b0958,TI83333S000928,CDS,suppressor of lon; inhibitor of cell division and FtsZ ring formation upon DNA damage/inhibition,suppressor of lon; inhibits cell division and ftsZ ring formation; go_component: periplasmic space [goid 0042597]; go_process: DNA repair [goid 0006281]; go_process: SOS response [goid 0009432],"Escherichia coli K12, complete genome.",NC_000913,1019633-1020142,b0958,15.79484635,15.7650566,15.88654311,12.85848988,12.97249308,13.02783943
b0959,TI83333S000929,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1020361-1020990,b0959,11.63789318,11.43809373,11.81898187,11.38834027,11.51268138,11.67367414
b0960,TI83333S000930,CDS,putative efflux transport protein (PET family),EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1020953-1023115,b0960,9.988412675,10.36147155,9.914941799,10.55584861,10.21782716,10.04543236
b0961,TI83333S000931,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1023125-1023571,b0961,10.976209,11.22420682,11.11356642,11.4781878,11.3104508,11.28564475
b0962,TI83333S000932,CDS,DNA helicase IV,go_component: cytoplasm [goid 0005737]; go_process: DNA dependent DNA replication [goid 0006261],"Escherichia coli K12, complete genome.",NC_000913,1023694-1025748,b0962,12.57957273,12.37072798,12.69064993,12.59636497,12.83199285,12.80760303
b0963,TI83333S000933,CDS,methylglyoxal synthase,catalyzes the formation of methylglyoxal from glycerone phosphate; go_component: cytoplasm [goid 0005737]; go_process: methylglyoxal metabolism [goid 0009438],"Escherichia coli K12, complete genome.",NC_000913,1025780-1026247,b0963,14.37143386,14.14804635,14.37364405,14.32833224,14.40709232,14.37428066
b0964,TI83333S000934,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1026334-1026996,b0964,9.154534467,8.91226102,9.309050842,9.096107029,9.176693685,9.354448757
b0965,TI83333S000935,CDS,protein (unknown function),EcoGene suggests alternate start codon; putative NAD(P)-binding enzyme,"Escherichia coli K12, complete genome.",NC_000913,1027088-1027582,b0965,13.26910388,13.32298775,13.11941033,13.11741871,13.21609752,12.94973116
b0966,TI83333S000936,CDS,hypothetical protein,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1027627-1027995,b0966,12.719692,12.72742017,12.90656487,12.85909905,13.03944398,12.85394265
b0967,TI83333S000937,CDS,putative methyltransferase,EcoGene suggests alternate start codon; putative oxidoreductase,"Escherichia coli K12, complete genome.",NC_000913,1028002-1029105,b0967,11.73856758,12.07727216,11.57915056,12.12750138,11.6555666,11.55175951
b0968,TI83333S000938,CDS,putative phosphohydrolase,,"Escherichia coli K12, complete genome.",NC_000913,1029287-1029565,b0968,11.94840907,11.76466153,11.90477332,11.77688548,12.05619534,11.92629221
b0969,TI83333S000939,CDS,putative sulfite reductase,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1029562-1029948,b0969,11.29549275,11.45504463,11.22447369,11.22473664,11.09095885,10.97176682
b0970,TI83333S000940,CDS,putative carrier/transport protein,putative transport protein (TEGT family); go_component: cytoplasm [goid 0005737],"Escherichia coli K12, complete genome.",NC_000913,1029982-1030641,b0970,14.63045109,14.66026133,14.66137631,14.58876535,14.90837016,14.5629909
b0972,TI83333S000941,CDS,hydrogenase-1 small subunit,"hydrogenase-1, small subunit; go_component: inner membrane [goid 0019866]; go_function: electron donor activity [goid 0009053]; go_process: aerobic respiration [goid 0009060]; go_process: anaerobic respiration [goid 0009061]","Escherichia coli K12, complete genome.",NC_000913,1031362-1032480,b0972,8.52970705,8.524469839,8.64694136,8.515749757,8.52291902,8.535562382
b0973,TI83333S000942,CDS,hydrogenase-1 large subunit,"hydrogenase-1, large subunit; go_component: inner membrane [goid 0019866]; go_function: electron donor activity [goid 0009053]; go_process: aerobic respiration [goid 0009060]; go_process: anaerobic respiration [goid 0009061]","Escherichia coli K12, complete genome.",NC_000913,1032477-1034270,b0973,9.106462055,9.186719736,9.104260418,9.155449665,9.260378066,9.131548388
b0974,TI83333S000943,CDS,probable Ni/Fe-hydrogenase 1 b-type cytochrome subunit,"putative Ni/Fe-hydrogenase, 1 b-type cytochrome subunit; go_component: inner membrane [goid 0019866]; go_function: electron donor activity [goid 0009053]; go_process: aerobic respiration [goid 0009060]; go_process: anaerobic respiration [goid 0009061]; go_process: cytochrome biogenesis [goid 0017004]","Escherichia coli K12, complete genome.",NC_000913,1034289-1034996,b0974,11.07083537,10.83821962,10.91664567,11.04382119,11.06193792,11.07628622
b0975,TI83333S000944,CDS,processing of HyaA and HyaB proteins,go_process: aerobic respiration [goid 0009060]; go_process: anaerobic respiration [goid 0009061]; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,1034993-1035580,b0975,10.30382811,10.15496878,10.17820603,10.28866695,10.38652565,10.34311104
b0976,TI83333S000945,CDS,processing of HyaA and HyaB proteins,"processing of HyaA and HyaB proteins, thioredoxin-like domain; go_process: aerobic respiration [goid 0009060]; go_process: anaerobic respiration [goid 0009061]; go_process: protein folding [goid 0006457]","Escherichia coli K12, complete genome.",NC_000913,1035577-1035975,b0976,10.68614676,10.50852348,10.50750122,10.63353409,10.79285213,10.66382942
b0977,TI83333S000946,CDS,nickel incorporation into hydrogenase-1 proteins,go_process: aerobic respiration [goid 0009060]; go_process: anaerobic respiration [goid 0009061]; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,1035972-1036829,b0977,9.598921974,9.403485499,9.4838972,9.674377464,9.647770209,9.637273823
b0978,TI83333S000947,CDS,"cytochrome oxidase bd-II, subunit I","probable third cytochrome oxidase, subunit I; go_component: inner membrane [goid 0019866]; go_function: electron acceptor activity [goid 0009054]","Escherichia coli K12, complete genome.",NC_000913,1036963-1038507,b0978,8.838071342,8.935172118,8.914229479,8.914222896,8.993219747,8.969651071
b0979,TI83333S000948,CDS,"cytochrome oxidase bd-II, subunit II","probable third cytochrome oxidase, subunit II; go_component: inner membrane [goid 0019866]; go_function: electron acceptor activity [goid 0009054]","Escherichia coli K12, complete genome.",NC_000913,1038519-1039655,b0979,10.02596292,9.945510768,9.868863536,10.00621423,10.13650712,10.16653397
b0980,TI83333S000949,CDS,phosphoanhydride phosphorylase; pH 2.5 acid phosphatase; periplasmic,phytase and phosphoanhydride phosphorylase (pH 2.5 acid phosphatase); go_component: periplasmic space [goid 0042597]; go_process: phosphorus metabolism [goid 0006793]; go_process: response to starvation [goid 0042594],"Escherichia coli K12, complete genome.",NC_000913,1039840-1041138,b0980,9.822649461,9.759005329,9.79195065,9.757699294,9.815456011,9.886036008
b0981,TI83333S000950,CDS,"tyrosine-protein kinase ETK, autophosphorylates",go_component: inner membrane [goid 0019866]; go_process: protein modification [goid 0006464],"Escherichia coli K12, complete genome.",NC_000913,1041253-1043433,b0981,8.217952212,8.234164422,8.168815448,8.370115592,8.319453853,8.446607058
b0982,TI83333S000951,CDS,putative phosphatase,EcoGene suggests alternate start codon; putative protein-tyrosine-phosphatase; go_process: protein modification [goid 0006464],"Escherichia coli K12, complete genome.",NC_000913,1043453-1043911,b0982,9.054063244,8.991512125,9.130323725,9.175395944,9.193139763,9.156353354
b0983,TI83333S000952,CDS,putative function in exopolysaccharide production,putative outer membrane protein; go_component: external outer membrane (sensu Gram-negative Bacteria) [goid 0009279],"Escherichia coli K12, complete genome.",NC_000913,1043887-1045026,b0983,7.382608263,7.382514024,7.354734359,7.471713038,7.508527198,7.512346571
b0984,TI83333S000953,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1045072-1047168,b0984,7.973686685,7.810567383,7.710133816,7.973859817,8.009009089,7.835764908
