gene_id,SEQ_ID,FEAT_TYPE,FUNCTION,DESCRIPTION,COMMENTS,ACCESSION,MAPLOC,gene,WT_1,WT_2,WT_3,WT_amox_1,WT_amox_2,WT_amox_3
b1198,TI83333S001160,CDS,PTS hybrid protein,putative PTS family enzyme I and HPr components,"Escherichia coli K12, complete genome.",NC_000913,1246919-1248340,b1198,13.25785647,13.20295327,13.62180784,13.62025061,13.04581488,13.18353778
b1199,TI83333S001161,CDS,"dihydroxyacetone kinase, C-terminal domain",putative dihydroxyacetone kinase,"Escherichia coli K12, complete genome.",NC_000913,1248348-1248980,b1199,12.94209872,12.77898243,13.48689955,13.37171224,12.59098026,12.79128484
b1200,TI83333S001162,CDS,"dihydroxyacetone kinase, N-terminal domain",EcoGene suggests alternate start codon; putative dihydroxyacetone kinase,"Escherichia coli K12, complete genome.",NC_000913,1248991-1250091,b1200,13.73922099,13.5893775,14.10957257,14.13215614,13.50043263,13.77962563
b1201,TI83333S001163,CDS,probable transcription activator for the dha operon; Sigma54-dependent activator,EcoGene suggests alternate start codon; putative transcriptional regulator in two-component regulatory system (EBP family); go_function: transcriptional activator activity [goid 0016563]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,1250280-1252208,b1201,10.63726171,10.51361171,10.57299432,10.70017849,10.5701911,10.502211
b1202,TI83333S001164,CDS,putative adhesion and penetration protein,putative outer membrane protein; go_component: external outer membrane (sensu Gram-negative Bacteria) [goid 0009279],"Escherichia coli K12, complete genome.",NC_000913,1252308-1255175,b1202,9.248599159,9.021165865,9.270650212,9.32568002,9.127897908,9.092689378
b1203,TI83333S001165,CDS,putative GTP-binding protein,,"Escherichia coli K12, complete genome.",NC_000913,1255944-1257035,b1203,13.35471707,13.65292131,12.98050755,12.96870195,13.86400608,13.62358499
b1204,TI83333S001166,CDS,peptidyl-tRNA hydrolase,Enables the recycling of peptidyl-tRNAs produced at termination of translation; go_component: cytoplasm [goid 0005737]; go_process: amino acid activation [goid 0006418],"Escherichia coli K12, complete genome.",NC_000913,1257152-1257736,b1204,11.38695781,11.86780609,11.30303485,11.23430394,11.98547994,11.85347641
b1205,TI83333S001167,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1258014-1258292,b1205,13.13563185,13.31489761,13.64986317,13.31797985,13.29529326,13.09704872
b1206,TI83333S001168,CDS,putative sulfate transporter,EcoGene suggests alternate start codon; putative transport protein (SulP family); go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,1258347-1259999,b1206,8.385870497,8.567797363,8.42057095,8.523940745,8.667638987,8.700267635
b1207,TI83333S001169,CDS,ribose-phosphate pyrophosphokinase,catalyzes the formation of 5-phospho-alpha-D-ribose 1-phosphate from D-ribose 5-phosphate and ATP; go_process: purine ribonucleotide biosynthesis [goid 0009152],"Escherichia coli K12, complete genome.",NC_000913,1260151-1261098,b1207,13.89996262,14.36769444,13.90491921,13.73194227,14.41953188,14.45014503
b1208,TI83333S001170,CDS,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,catalyzes the phosphorylation of 4-diphosphocytidyl-2-C-methyl-D-erythritol in the nonmevalonate pathway of isoprenoid biosynthesis; go_component: cytoplasm [goid 0005737],"Escherichia coli K12, complete genome.",NC_000913,1261249-1262100,b1208,13.47103308,13.61379799,13.2195768,13.41933491,13.63183374,13.70238645
b1209,TI83333S001171,CDS,outer membrane lipoprotein LolB precursor,Incorporates lipoproteins in the outer membrane after they are released by the LolA protein; go_component: external outer membrane (sensu Gram-negative Bacteria) [goid 0009279],"Escherichia coli K12, complete genome.",NC_000913,1262100-1262723,b1209,12.89284016,13.06685602,12.70472094,12.70849466,13.10078088,13.11446275
b1210,TI83333S001172,CDS,glutamyl-tRNA reductase,catalyzes the formation of glutamate-1-semialdehyde from glutamyl-tRNA(Glu) and NADPH in prophyrin biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: response to drug [goid 0042493],"Escherichia coli K12, complete genome.",NC_000913,1262937-1264193,b1210,12.63371002,12.56696827,12.57804515,12.65952475,12.62983998,12.7328957
b1211,TI83333S001173,CDS,peptide chain release factor 1,Directs the termination of translation in response to the peptide chain termination codons UAG and UAA; go_component: cytoplasm [goid 0005737]; go_process: protein biosynthesis [goid 0006412],"Escherichia coli K12, complete genome.",NC_000913,1264235-1265317,b1211,11.8180427,11.98999417,11.75531062,11.80782314,12.11016009,12.21143795
b1212,TI83333S001174,CDS,N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase,HemK; PrmC; transfers a methyl group from S-adenosylmethionine to amide nitrogen of specific glutamine residues in protein chain release factors PrfA and PrfB,"Escherichia coli K12, complete genome.",NC_000913,1265317-1266150,b1212,10.70464124,10.95620788,10.51615853,10.35483244,11.12201822,11.19532539
b1213,TI83333S001175,CDS,putative transcriptional regulator,"go_process: regulation of transcription, DNA-dependent [goid 0006355]","Escherichia coli K12, complete genome.",NC_000913,1266147-1266539,b1213,9.479141685,9.975625892,9.434569037,9.336270494,10.0212449,10.15406494
b1214,TI83333S001176,CDS,putative transcriptional regulator,"go_process: regulation of transcription, DNA-dependent [goid 0006355]","Escherichia coli K12, complete genome.",NC_000913,1266543-1267352,b1214,12.48290126,12.6274461,12.42079975,12.57762346,12.64573261,12.71229663
b1215,TI83333S001177,CDS,2-dehydro-3-deoxyphosphooctonate aldolase,"catalyzes the formation of 2-dehydro-3-deoxy-D-octonate 8-phosphate from phosphoenolpyruvate and D-arabinose 5-phosphate in LPS biosynthesis; go_component: capsule (sensu Bacteria) [goid 0030113]; go_component: cytoplasm [goid 0005737]; go_function: cell surface antigen activity, host-interacting [goid 0042280]; go_process: lipopolysaccharide core region biosynthesis [goid 0009244]; go_process: K antigen biosynthesis [goid 0009248]","Escherichia coli K12, complete genome.",NC_000913,1267388-1268242,b1215,13.04084464,13.16554063,13.03570273,13.07430296,13.11207532,13.08999672
b4419,TI83333S001178,CDS,small toxic polypeptide,,"Escherichia coli K12, complete genome.",NC_000913,1268391-1268498,b4419,10.6811536,10.71874582,10.657969,10.97762842,10.72258908,10.81531489
b4421,TI83333S001179,CDS,small toxic polypeptide,,"Escherichia coli K12, complete genome.",NC_000913,1268926-1269033,b4421,12.01928779,11.83458112,11.89071371,12.07912139,11.85530436,11.98197327
b4423,TI83333S001180,CDS,small toxic polypeptide,,"Escherichia coli K12, complete genome.",NC_000913,1269461-1269568,b4423,10.62316783,10.67344807,10.69782536,10.93953162,10.69742654,10.76041564
b1216,TI83333S001181,CDS,sodium-calcium/proton antiporter,sodium/calcium:proton antiporter (CaCA family); go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,1269972-1271072,b1216,10.87835843,11.11867765,10.90818341,10.75910882,11.36975515,11.29888166
b1217,TI83333S001182,CDS,cation transport regulator,go_component: cytoplasm [goid 0005737]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,1271342-1271572,b1217,12.31392214,12.20044268,12.37576911,12.39184035,12.20010763,12.14999418
b1218,TI83333S001183,CDS,cation transport regulator,EcoGene suggests alternate start codon; go_component: cytoplasm [goid 0005737]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,1271709-1272425,b1218,11.71085533,11.62573488,11.74475745,11.81934,11.62336037,11.65873165
b1219,TI83333S001184,CDS,putative phosphatase,,"Escherichia coli K12, complete genome.",NC_000913,1272469-1272822,b1219,13.96244656,13.68013916,13.77762778,13.84266743,13.64743429,13.57824568
b1220,TI83333S001185,CDS,"conserved protein, invasin-like",EcoGene suggests alternate start codon; putative factor,"Escherichia coli K12, complete genome.",NC_000913,1273148-1274401,b1220,10.49304825,10.59912876,10.36802485,10.53034486,10.61092061,10.65727751
b1221,TI83333S001186,CDS,"pleiotrophic regulation of anaerobic respiration: response regulator for nar, frd, dms and tor genes","response regulator in two-component regulatory system with NarX (or NarQ), regulates anaerobic respiration and fermentation (LuxR/UhpA familiy); go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: anaerobic respiration [goid 0009061]; go_process: transcription [goid 0006350]","Escherichia coli K12, complete genome.",NC_000913,1274402-1275052,b1221,12.29413753,12.30121056,12.43950552,12.4603131,12.25190073,12.22865295
b1222,TI83333S001187,CDS,"nitrate/nitrate sensor, histidine protein kinase acts on NarL regulator","sensory histidine kinase in two-component regulatory system with NarL, regulation of anaerobic respiration and fermentation, senses nitrate/nitrite; go_component: inner membrane [goid 0019866]; go_process: anaerobic respiration [goid 0009061]; go_process: protein modification [goid 0006464]","Escherichia coli K12, complete genome.",NC_000913,1275045-1276841,b1222,11.24255972,11.11510146,11.38676928,11.38103479,11.07810041,11.12947116
b1223,TI83333S001188,CDS,nitrite extrusion protein,nitrite extrusion protein (MFS family); go_component: inner membrane [goid 0019866]; go_process: nitrogen metabolism [goid 0006807],"Escherichia coli K12, complete genome.",NC_000913,1277180-1278571,b1223,11.72030051,11.66682398,12.30791786,12.22158883,10.73568272,11.3000051
b1224,TI83333S001189,CDS,"nitrate reductase 1, alpha subunit",go_component: inner membrane [goid 0019866]; go_function: electron acceptor activity [goid 0009054]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,1279087-1282830,b1224,12.90798951,12.53807338,13.62007574,13.65230692,11.61624575,12.31459223
b1225,TI83333S001190,CDS,"nitrate reductase 1, Fe-S (beta) subunit","nitrate reductase 1, beta subunit; go_component: inner membrane [goid 0019866]; go_function: electron acceptor activity [goid 0009054]; go_process: anaerobic respiration [goid 0009061]","Escherichia coli K12, complete genome.",NC_000913,1282827-1284365,b1225,9.267776118,9.164956817,9.665459355,9.559959348,9.187212821,9.421292746
b1226,TI83333S001191,CDS,"nitrate reductase 1, delta subunit, assembly function","nitrate reductase 1, delta subunit, chaperone required for molybdenum cofactor assembly; go_process: anaerobic respiration [goid 0009061]; go_process: protein folding [goid 0006457]","Escherichia coli K12, complete genome.",NC_000913,1284362-1285072,b1226,7.840254321,7.986087405,7.983584108,8.020060917,7.979809787,8.11671317
b1227,TI83333S001192,CDS,"nitrate reductase 1, cytochrome b(NR), gamma subunit",go_component: inner membrane [goid 0019866]; go_function: electron acceptor activity [goid 0009054]; go_process: anaerobic respiration [goid 0009061]; go_process: cytochrome biogenesis [goid 0017004],"Escherichia coli K12, complete genome.",NC_000913,1285072-1285749,b1227,7.739972781,7.869876235,7.793199283,7.963492071,7.708323821,8.034037122
b1228,TI83333S001193,CDS,unknown CDS,,"Escherichia coli K12, complete genome.",NC_000913,1285932-1286207,b1228,8.699226985,8.652393994,8.598986268,8.803829097,8.683492292,8.743507799
b1229,TI83333S001194,CDS,a protamine-like protein,EcoGene suggests alternate start codon; a protaminelike protein; go_component: cytoplasm [goid 0005737],"Escherichia coli K12, complete genome.",NC_000913,1286310-1286411,b1229,10.71216976,10.44649722,10.61954153,10.79581601,10.78864956,10.53566633
b1232,TI83333S001195,CDS,formyltetrahydrofolate deformylase,Important for interconversion of one-carbon donors of the serine cycle; go_component: cytoplasm [goid 0005737]; go_process: 10-formyltetrahydrofolate biosynthesis [goid 0009257]; go_process: purine ribonucleotide biosynthesis [goid 0009152],"Escherichia coli K12, complete genome.",NC_000913,1287005-1287847,b1232,13.81181668,13.94504313,13.58164426,13.65614462,14.07091885,13.96900342
b1233,TI83333S001196,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1287897-1288355,b1233,13.16025608,13.17204045,12.98090126,13.02905935,13.28995641,13.29182463
b1234,TI83333S001197,CDS,putative transmembrane protein,,"Escherichia coli K12, complete genome.",NC_000913,1288429-1289373,b1234,12.21360334,12.25837281,12.24645671,12.18011452,12.34487774,12.29302577
b1235,TI83333S001198,CDS,Hnr protein,"response regulator involved in protein turnover, controls stability of RpoS; go_component: cytoplasm [goid 0005737]; go_process: transcription [goid 0006350]","Escherichia coli K12, complete genome.",NC_000913,1289465-1290478,b1235,11.59694988,11.7631937,11.63548485,11.64471377,11.75097957,11.80558918
b1236,TI83333S001199,CDS,glucose-1-phosphate uridylyltransferase,go_component: capsule (sensu Bacteria) [goid 0030113]; go_process: galactose metabolism [goid 0006012]; go_process: glucose metabolism [goid 0006006]; go_process: colanic acid biosynthesis [goid 0009242]; go_process: carbohydrate catabolism [goid 0016052]; go_process: response to dessication [goid 0009269],"Escherichia coli K12, complete genome.",NC_000913,1290680-1291588,b1236,13.61094528,13.57873002,13.56352265,13.44291872,13.65140255,13.54317779
b1237,TI83333S001200,CDS,"DNA-binding protein HLP-II (HU, BH2, HD, NS); pleiotropic regulator","transcriptional regulator, DNA-binding protein HLP-II (HU, BH2, HD, NS), increases DNA thermal stability; go_component: flagellum [goid 0019861]; go_component: cytoplasm [goid 0005737]; go_process: transcription [goid 0006350]; go_process: regulation of transcription, DNA-dependent [goid 0006355]; go_process: taxis [goid 0042330]","Escherichia coli K12, complete genome.",NC_000913,1291732-1292145,b1237,15.87648798,15.97253147,15.8109404,15.83670579,16.00119913,15.7833774
b1238,TI83333S001201,CDS,thymidine kinase,"catalyzes the formation of thymidine 5'-phosphate from thymidine; go_process: nucleobase, nucleoside and nucleotide interconversion [goid 0015949]","Escherichia coli K12, complete genome.",NC_000913,1292750-1293367,b1238,10.16438711,10.53539544,9.769780689,9.743851267,10.76420027,10.42888402
b1239,TI83333S001202,CDS,putative IS4 insertion sequence,,"Escherichia coli K12, complete genome.",NC_000913,1293649-1294239,b1239,9.696624781,9.466037565,9.506267883,9.457802527,9.600695003,9.579297702
b1240,TI83333S001203,CDS,unknown CDS,,"Escherichia coli K12, complete genome.",NC_000913,1294191-1294421,b1240,10.92651479,10.8696823,10.84626802,10.91551137,10.86022704,11.00514145
b1241,TI83333S001204,CDS,CoA-linked acetaldehyde dehydrogenase and iron-dependent alcohol dehydrogenase; pyruvate-formate-lyase deactivase,multifunctional: acetaldehyde-CoA dehydrogenase (N-terminal); iron-dependent alcohol dehydrogenase (C-terminal); pyruvate-formate lyase deactivase; go_process: fermentation [goid 0006113],"Escherichia coli K12, complete genome.",NC_000913,1294669-1297344,b1241,14.45090726,14.55026853,14.6796413,14.87197634,14.1292484,14.35981749
b1242,TI83333S001205,CDS,putative channel protein,,"Escherichia coli K12, complete genome.",NC_000913,1297821-1298468,b1242,9.663616129,9.393861733,9.545831405,9.560979331,9.22838449,9.311219136
b1243,TI83333S001206,CDS,"oligopeptide transport protein (ABC superfamily, peri_bind)",oligopeptide transport; periplasmic binding protein; go_component: periplasmic space [goid 0042597]; go_process: peptidoglycan metabolism [goid 0000270]; go_process: protein folding [goid 0006457],"Escherichia coli K12, complete genome.",NC_000913,1299206-1300837,b1243,14.36085449,14.37519887,14.44697933,14.6277185,14.13586714,14.23137879
b1244,TI83333S001207,CDS,oligopeptide permease ABC transporter membrane component,go_component: inner membrane [goid 0019866]; go_process: peptidoglycan metabolism [goid 0000270],"Escherichia coli K12, complete genome.",NC_000913,1300923-1301843,b1244,11.73788879,12.15423717,11.59766371,11.73150742,12.0080582,12.12142743
b1245,TI83333S001208,CDS,homolog of Salmonella oligopeptide transport permease protein,"oligopeptide transport protein (ABC superfamily, membrane); go_component: inner membrane [goid 0019866]; go_process: peptidoglycan metabolism [goid 0000270]","Escherichia coli K12, complete genome.",NC_000913,1301858-1302766,b1245,12.26359431,12.52443329,12.26841682,12.34491069,12.51198862,12.62314619
b1246,TI83333S001209,CDS,oligopeptide transporter ATP-binding component,go_component: cytoplasm [goid 0005737]; go_process: peptidoglycan metabolism [goid 0000270],"Escherichia coli K12, complete genome.",NC_000913,1302778-1303791,b1246,12.18693545,12.4882234,12.40039856,12.52899895,12.47532303,12.53820594
b1247,TI83333S001210,CDS,homolog of Salmonella ATP-binding protein of oligopeptide ABC transport system,"oligopeptide transport protein (ABC superfamily, atp_bind); go_component: cytoplasm [goid 0005737]; go_process: peptidoglycan metabolism [goid 0000270]","Escherichia coli K12, complete genome.",NC_000913,1303788-1304792,b1247,11.56647727,11.80432337,12.0132547,11.89598839,11.8465739,11.86475303
b1248,TI83333S001211,CDS,hypothetical protein,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1304845-1305252,b1248,12.34945568,12.30379485,12.17561367,12.26562548,12.18798098,12.12177827
b1249,TI83333S001212,CDS,cardiolipin synthetase,catalyzes the transfer of a phosphatidyl group to phosphodidylglycerol to form cardiolipin (diphosphatidylglycerol); go_component: inner membrane [goid 0019866]; go_process: phospholipid biosynthesis [goid 0008654]; go_process: response to drug [goid 0042493],"Escherichia coli K12, complete genome.",NC_000913,1305209-1306669,b1249,13.13995951,12.89773773,13.16415796,13.1109931,12.72135043,12.86840565
b1250,TI83333S001213,CDS,putative potassium channel protein,putative potassium channel protein (VIC family); go_component: inner membrane [goid 0019866]; go_function: voltage-gated ion channel activity [goid 0005244],"Escherichia coli K12, complete genome.",NC_000913,1307040-1308293,b1250,10.65680436,10.5573223,10.46378374,10.47369098,10.38860767,10.29236326
b1251,TI83333S001214,CDS,hypothetical protein,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1308593-1308985,b1251,13.91508672,13.92250636,13.994425,14.06468678,13.73686722,13.679226
b1252,TI83333S001215,CDS,"energy transducer; uptake of iron, cyanocobalimin; sensitivity to phages, colicins",go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,1309113-1309832,b1252,13.10770188,13.13177861,13.38706354,13.40747404,13.05785971,13.18046512
b1253,TI83333S001216,CDS,putative enzyme,,"Escherichia coli K12, complete genome.",NC_000913,1309872-1310270,b1253,12.29518719,12.20481699,12.00436381,11.995288,12.30094038,12.14428756
b1254,TI83333S001217,CDS,putative intracellular septation protein,Involved in cell division; probably involved in intracellular septation,"Escherichia coli K12, complete genome.",NC_000913,1310375-1310914,b1254,12.29665536,12.32893822,12.23198258,12.19465751,12.30461121,12.25377211
b1255,TI83333S001218,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1310944-1311687,b1255,11.77573894,11.84105287,11.75639389,11.65256675,11.82501512,11.82272827
b1256,TI83333S001219,CDS,outer membrane protein W; colicin S4 receptor; putative transport protein,putative outer membrane protein; go_component: external outer membrane (sensu Gram-negative Bacteria) [goid 0009279],"Escherichia coli K12, complete genome.",NC_000913,1312044-1312682,b1256,12.04295962,12.03775271,12.54031833,12.4739761,11.38406183,11.43328433
b1257,TI83333S001220,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1312742-1313248,b1257,9.018283624,8.626807122,8.746227184,8.978763218,8.346647548,8.060581878
b1258,TI83333S001221,CDS,putative structural proteins,,"Escherichia coli K12, complete genome.",NC_000913,1313294-1313794,b1258,11.22154979,10.98294024,11.03895218,11.10969313,10.92371322,10.92606002
b1259,TI83333S001222,CDS,hypothetical protein,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1313880-1314116,b1259,12.79545332,12.51854641,12.82880326,12.67101534,12.45731332,12.32625944
b1260,TI83333S001223,CDS,tryptophan synthase subunit alpha,converts serine and 1-(indol-3-yl)glycerol 3-phosphate to tryptophan and glyceraldehyde 3-phosphate; functions in trytophan synthesis from chorismate; forms a tetramer of alpha(2)beta(2); go_component: cytoplasm [goid 0005737]; go_process: tryptophan biosynthesis [goid 0000162],"Escherichia coli K12, complete genome.",NC_000913,1314440-1315246,b1260,12.7213092,12.96076663,12.94192091,13.03060482,12.92615614,12.9630691
b1261,TI83333S001224,CDS,tryptophan synthase subunit beta,catalyzes the formation of L-tryptophan from L-serine and 1-(indol-3-yl)glycerol 3-phosphate; go_component: cytoplasm [goid 0005737]; go_process: tryptophan biosynthesis [goid 0000162],"Escherichia coli K12, complete genome.",NC_000913,1315246-1316439,b1261,13.53635533,13.78813697,13.64777569,13.81346734,13.80852296,13.94798539
b1262,TI83333S001225,CDS,bifunctional indole-3-glycerol phosphate synthase/phosphoribosylanthranilate isomerase,monomeric bifunctional protein; functions in tryptophan biosynthesis pathway; phosphoribosylanthranilate is rearranged to carboxyphenylaminodeoxyribulosephosphate which is then closed to form indole-3-glycerol phosphate; go_component: cytoplasm [goid 0005737]; go_process: tryptophan biosynthesis [goid 0000162],"Escherichia coli K12, complete genome.",NC_000913,1316451-1317812,b1262,13.27495542,13.47341316,13.26924025,13.4696426,13.52987013,13.66799974
b1263,TI83333S001226,CDS,anthranilate phosphoribosyltransferase,catalyzes the formation of N-(5-phospho-D-ribosyl)-anthranilate from athranilate and 5-phospho-alpha-D-ribose 1-diphosphate in tryptophan biosynthesis; go_component: cytoplasm [goid 0005737]; go_process: tryptophan biosynthesis [goid 0000162],"Escherichia coli K12, complete genome.",NC_000913,1317813-1319408,b1263,12.56987427,12.8529029,12.73624634,12.89860387,12.82009481,12.98998113
b1264,TI83333S001227,CDS,anthranilate synthase component I,catalyzes the formation of anthranilate and glutamate from chorismate and glutamine; go_process: tryptophan biosynthesis [goid 0000162],"Escherichia coli K12, complete genome.",NC_000913,1319408-1320970,b1264,11.76752333,12.32946217,12.10462843,12.2756194,12.29143063,12.76286079
b1265,TI83333S001228,CDS,trp operon leader peptide,go_component: cytoplasm [goid 0005737]; go_process: tryptophan biosynthesis [goid 0000162],"Escherichia coli K12, complete genome.",NC_000913,1321062-1321106,b1265,11.31563785,12.06777028,11.44590584,11.51953285,12.14128792,12.60773296
b1266,TI83333S001229,CDS,putative enzyme,,"Escherichia coli K12, complete genome.",NC_000913,1321244-1322125,b1266,10.62882232,10.75990954,10.4718381,10.57001073,10.85082698,10.95179021
b1267,TI83333S001230,CDS,hypothetical protein,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1322086-1322742,b1267,12.70434327,12.67761999,12.92026376,12.89606022,12.5620915,12.71363428
b1268,TI83333S001231,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1322770-1324665,b1268,8.960434631,8.951757404,8.832876013,9.039038371,8.97807402,9.067263356
b1269,TI83333S001232,CDS,pseudouridine synthase (makes pseudouridine2605 in 23 S RNA),go_process: RNA modification [goid 0009451],"Escherichia coli K12, complete genome.",NC_000913,1324876-1325751,b1269,13.60555613,13.56513386,13.31949417,13.34023882,13.79442424,13.84092778
b1270,TI83333S001233,CDS,"cob(I)yrinic acid a,c-diamide adenosyltransferase","catalyzes the formation of adenosylcob(III)yrinic acid a,c-diamide from cob(I)yrinic acid a,c-diamide; go_component: cytoplasm [goid 0005737]; go_process: vitamin B12 biosynthesis [goid 0009236]","Escherichia coli K12, complete genome.",NC_000913,1325791-1326381,b1270,11.0033205,11.09163706,11.2194191,11.24876367,11.01698486,11.07217456
b1271,TI83333S001234,CDS,short chain dehydrogenase,,"Escherichia coli K12, complete genome.",NC_000913,1326378-1327136,b1271,11.19366235,11.33136013,11.44666358,11.62194152,11.17086584,11.16536394
b1272,TI83333S001235,CDS,putative peptidase,putative protease,"Escherichia coli K12, complete genome.",NC_000913,1327356-1328405,b1272,12.91934247,12.76714006,12.89002419,12.90017946,12.72554124,12.72422324
b1273,TI83333S001236,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1328441-1328692,b1273,12.29804605,12.39664864,12.43658432,12.32999455,12.37337779,12.25422968
b1274,TI83333S001237,CDS,DNA topoisomerase I,"catalyzes the ATP-dependent breakage of signle-stranded DNA followed by passage and rejoining, maintains net negative superhelicity; go_component: cytoplasm [goid 0005737]; go_process: DNA dependent DNA replication [goid 0006261]; go_process: transcription [goid 0006350]","Escherichia coli K12, complete genome.",NC_000913,1329072-1331669,b1274,12.23957855,12.76298297,12.04321692,12.11677251,12.8656176,12.79748225
b1275,TI83333S001238,CDS,transcriptional regulator for cysteine regulon,controls expression of cysteine regulon which consists of 10 or more loci involved in the synthesis of cysteine; belongs to LysR family of transcriptional regulators; go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: cysteine biosynthesis [goid 0019344]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,1331879-1332853,b1275,13.51077251,13.57144221,13.30204517,13.5339668,13.45567154,13.51357488
b1276,TI83333S001239,CDS,aconitate hydratase,Catalyzes the conversion of citrate to isocitrate; go_process: tricarboxylic acid cycle [goid 0006099]; go_process: anaerobic respiration [goid 0009061],"Escherichia coli K12, complete genome.",NC_000913,1333855-1336530,b1276,13.65940493,13.66959772,13.76001242,13.75135092,13.68643681,13.69411174
b1277,TI83333S001240,CDS,GTP cyclohydrolase II protein,"catalyzes the conversion of GTP to formate and 2,5-diamino-6-hydroxy-4-(5-phosphoribosylamino)pyrimidine and diphosphate","Escherichia coli K12, complete genome.",NC_000913,1336594-1337184,b1277,12.18490276,12.33498399,12.21747856,12.2463946,12.29336393,12.32618037
b1278,TI83333S001241,CDS,"non-essential phosphatidylglycerophosphate phosphatase, membrane bound",phosphatidylglycerophosphate phosphatase B; go_component: inner membrane [goid 0019866]; go_process: phospholipid biosynthesis [goid 0008654],"Escherichia coli K12, complete genome.",NC_000913,1337354-1338118,b1278,12.64757021,12.50438539,12.6219345,12.70709447,12.49381989,12.5957507
b1279,TI83333S001242,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1338267-1338575,b1279,11.93987307,11.66534735,11.94791619,11.99512563,11.70265373,11.66878608
b1280,TI83333S001243,CDS,putative heat shock protein,,"Escherichia coli K12, complete genome.",NC_000913,1338582-1339751,b1280,12.03553567,11.77916596,11.99230354,12.02318078,11.89586045,11.74169273
b1281,TI83333S001244,CDS,orotidine 5'-phosphate decarboxylase,"OMP decarboxylase; OMPDCase; OMPdecase; type 1 subfamily; involved in last step of pyrimidine biosynthesis; converts orotidine 5'-phosphate to UMP and carbon dioxide; go_process: pyrimidine nucleotide biosynthesis [goid 0006221]; go_process: nucleobase, nucleoside and nucleotide interconversion [goid 0015949]","Escherichia coli K12, complete genome.",NC_000913,1339945-1340682,b1281,11.6570358,12.20246623,11.3414052,11.2069756,12.67537831,12.45081782
b1282,TI83333S001245,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1340679-1341008,b1282,13.18958968,13.28828105,12.86388068,12.90362244,13.50709096,13.48596588
b1283,TI83333S001246,CDS,"lipoprotein, osmotically inducible",osmotically inducible lipoprotein; go_process: response to osmotic stress [goid 0006970],"Escherichia coli K12, complete genome.",NC_000913,1341134-1341352,b1283,14.06334083,13.68929363,14.37925917,14.48646997,13.64880119,13.61660357
b1284,TI83333S001247,CDS,putative DEOR-type transcriptional regulator,putative transcriptional regulator (DeoR family); go_function: transcriptional repressor activity [goid 0016564]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,1341621-1342370,b1284,11.24733145,11.15899787,11.55450771,11.51412866,10.85964133,10.93657829
b1285,TI83333S001248,CDS,RNase II modulator,,"Escherichia coli K12, complete genome.",NC_000913,1342781-1344766,b1285,10.86701364,10.86577141,11.04956781,11.225797,10.76419037,10.64586154
b1286,TI83333S001249,CDS,exoribonuclease II,Involved in mRNA degradation. Hydrolyzes single-stranded polyribonucleotides processively in the 3' to 5' direction; go_process: RNA catabolism [goid 0006401]; go_process: RNA catabolism [goid 0006401],"Escherichia coli K12, complete genome.",NC_000913,1345002-1346936,b1286,13.53592562,14.04493482,13.57729219,13.63601198,14.04842557,14.12292118
b1287,TI83333S001250,CDS,putative oxidoreductase,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1347004-1348209,b1287,12.81941057,13.25372383,12.79215525,13.15807322,13.05647036,13.20444571
