gene_id,SEQ_ID,FEAT_TYPE,FUNCTION,DESCRIPTION,COMMENTS,ACCESSION,MAPLOC,gene,WT_amox_1,WT_amox_2,WT_amox_3,512_amox_1,512_amox_2,512_amox_3
b1320,TI83333S001283,CDS,putative LACI-type transcriptional regulator,putative transcriptional repressor (GalR/LacI family); go_component: periplasmic space [goid 0042597]; go_function: transcriptional repressor activity [goid 0016564]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,1380987-1381985,b1320,8.210229833,8.956348511,8.631474505,8.186071233,8.171245765,8.125727225
b1321,TI83333S001284,CDS,putative EC 2.1 enzyme,,"Escherichia coli K12, complete genome.",NC_000913,1382141-1383538,b1321,11.02065102,10.94502467,10.88480058,11.56439055,11.47583116,11.40762739
b1322,TI83333S001285,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1383535-1384596,b1322,10.88846662,11.02501097,11.07748016,11.4633085,11.40482382,11.40738206
b1323,TI83333S001286,CDS,"transcriptional regulation of aroF, aroG, tyrA and aromatic amino acid transport",transcriptional regulator of aromatic amino acid biosynthesis and aromatic amino acid transport (EBP family); go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,1384744-1386285,b1323,12.84845873,12.28800142,12.49268734,13.1458795,13.15612496,13.31290351
b1324,TI83333S001287,CDS,thiol peroxidase,antioxidant activity; thioredoxin-dependent thiol peroxidase; forms homodimers in solution; shows substrate specificity to alkyl hydroperoxides; periplasmic protein; go_component: periplasmic space [goid 0042597]; go_process: xenobiotic metabolism [goid 0006805],"Escherichia coli K12, complete genome.",NC_000913,1386329-1386835,b1324,14.49247602,14.94095066,14.86486228,14.66705219,14.70204608,14.63712995
b1325,TI83333S001288,CDS,"L-Ala-D/L-Glu epimerase, a muconate lactonizing enzyme",EcoGene suggests alternate start codon; putative muconate cycloisomerase I,"Escherichia coli K12, complete genome.",NC_000913,1386912-1387919,b1325,11.3046528,11.03744438,11.15662049,11.75331147,11.71720943,11.86555757
b1326,TI83333S001289,CDS,putative carboxypeptidase,,"Escherichia coli K12, complete genome.",NC_000913,1387894-1388682,b1326,11.39250562,11.1719442,11.23837091,11.41841649,11.31391742,11.3377827
b1327,TI83333S001290,CDS,"conserved hypothetical protein, alpha/beta-hydrolase domain",,"Escherichia coli K12, complete genome.",NC_000913,1388957-1389889,b1327,7.412420971,7.356575601,7.369452928,7.218728962,7.145452063,7.190016417
b1328,TI83333S001291,CDS,putative transcriptional regulator (LysR family),putative transcriptional regulator LYSR-type; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,1390015-1390914,b1328,9.793776542,9.66302399,9.598820277,9.636695333,9.61476055,9.571698932
b1329,TI83333S001292,CDS,periplasmic murein tripeptide (L-Ala-gamma-D-Glut-m-DAP) permease,EcoGene suggests alternate start codon; periplasmic murein tripeptide transport protein; negative regulator of multiple antibiotic resistance; go_component: periplasmic space [goid 0042597]; go_process: peptidoglycan metabolism [goid 0000270],"Escherichia coli K12, complete genome.",NC_000913,1391230-1392864,b1329,9.314492231,9.84063564,9.615372342,9.511099639,9.434370248,9.474383743
b1330,TI83333S001293,CDS,putative transmembrane protein,,"Escherichia coli K12, complete genome.",NC_000913,1392915-1393946,b1330,10.25498706,9.891875811,9.816083832,10.23034808,10.40634637,10.32670548
b1331,TI83333S001294,CDS,IS5 protein,IS5 transposase,"Escherichia coli K12, complete genome.",NC_000913,1394100-1395116,b1331,14.54140812,14.52728908,14.59354597,14.5089763,14.3919906,14.4360486
b1332,TI83333S001295,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1395389-1395646,b1332,13.90729447,14.82816861,14.47159192,13.92865303,13.77652883,13.49124381
b1333,TI83333S001296,CDS,"conserved protein, adenine nucleotide-binding domain",,"Escherichia coli K12, complete genome.",NC_000913,1395696-1396646,b1333,14.54226626,13.32474804,13.61462249,15.11366665,15.15262902,15.40730258
b1334,TI83333S001297,CDS,"transcriptional regulation of aerobic, anaerobic respiration, osmotic balance","transcriptional regulator of aerobic, anaerobic respiration, osmotic balance (CAMP-binding family); go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: anaerobic respiration [goid 0009061]; go_process: transcription [goid 0006350]","Escherichia coli K12, complete genome.",NC_000913,1396798-1397550,b1334,13.78223978,14.50153111,14.42503343,14.00044528,13.92167614,13.8283615
b1335,TI83333S001298,CDS,O-6-alkylguanine-DNA/cysteine-protein methyltransferase,go_component: cytoplasm [goid 0005737]; go_process: DNA methylation [goid 0006306],"Escherichia coli K12, complete genome.",NC_000913,1397745-1398260,b1335,9.910883611,9.642691036,9.67148068,10.28264336,10.18928334,10.16257009
b1336,TI83333S001299,CDS,aminobenzoyl-glutamate transport protein,EcoGene suggests alternate start codon; putative p-aminobenzoyl-glutamate transport protein (AbgT family); go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,1398271-1399803,b1336,7.991021913,7.936032714,8.068144467,8.097404432,8.100370895,8.106839369
b1337,TI83333S001300,CDS,aminobenzoyl-glutamate utilization protein,"putative amidohydrolase (aminoacylase), p-aminobenzoyl-glutamate utilization; go_process: carbohydrate catabolism [goid 0016052]","Escherichia coli K12, complete genome.",NC_000913,1399834-1401279,b1337,9.196280764,9.185907885,9.150999415,9.251040501,9.276332882,9.22522818
b1338,TI83333S001301,CDS,aminobenzoyl-glutamate utilization protein,"EcoGene suggests alternate start codon; putative indole-3-acetyl-L-aspartic acid hydrolase, p-aminobenzoyl-glutamate utilization; go_process: carbohydrate catabolism [goid 0016052]","Escherichia coli K12, complete genome.",NC_000913,1401279-1402604,b1338,9.051667598,8.976209316,9.064975021,9.208535279,9.267044007,9.299075415
b1339,TI83333S001302,CDS,putative transcriptional regulator LYSR-type,putative transcriptional regulator of p-aminobenzoyl-glutamate utilization (LysR familiy); go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: carbohydrate catabolism [goid 0016052]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,1402765-1403673,b1339,9.369697047,9.884110935,9.889165016,9.602571954,9.585944048,9.456960986
b1340,TI83333S001303,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1404003-1404566,b1340,10.66762395,10.66036803,10.55016448,10.8639719,10.63892849,10.7867261
b1341,TI83333S001304,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1404587-1405879,b1341,11.48499752,11.91333327,11.85785871,10.63456417,10.89415107,10.616618
b1342,TI83333S001305,CDS,putative membrane associated protein,,"Escherichia coli K12, complete genome.",NC_000913,1406074-1407057,b1342,12.08904711,11.56806012,11.5422778,11.93405721,11.88475363,11.90720956
b1343,TI83333S001306,CDS,ATP-dependent RNA helicase,"ATP-dependent RNA helicase, stimulated by 23S rRNA; go_component: cytosolic ribosome (sensu Bacteria) [goid 0009281]; go_component: cytoplasm [goid 0005737]; go_process: RNA modification [goid 0009451]","Escherichia coli K12, complete genome.",NC_000913,1407535-1408908,b1343,10.24118039,11.18668942,11.10089447,9.768601852,9.786145211,9.693206377
b1344,TI83333S001307,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1409037-1409972,b1344,11.66125174,12.16087548,12.16119432,11.86421173,11.95361458,11.72482125
b1345,TI83333S001308,CDS,Rac prophage; putative transposase/integrase,lambdoid prophage Rac integrase,"Escherichia coli K12, complete genome.",NC_000913,1410024-1411259,b1345,8.014798504,7.985531357,7.947028016,7.986774133,8.052317777,8.010464435
b1346,TI83333S001309,CDS,Rac prophage,EcoGene suggests alternate start codon; putative lambdoid prophage Rac excisionase,"Escherichia coli K12, complete genome.",NC_000913,1411261-1411500,b1346,12.08966735,11.91074301,12.03136512,12.28245735,12.41967242,12.27041501
b1347,TI83333S001310,CDS,Rac prophage,,"Escherichia coli K12, complete genome.",NC_000913,1411555-1411764,b1347,6.115359225,6.124795086,6.121111928,6.147153778,6.180848936,6.10974457
b1348,TI83333S001311,CDS,Rac prophage; modifies activity of EcoKI,restriction alleviation and modification enhancement,"Escherichia coli K12, complete genome.",NC_000913,1411757-1411951,b1348,7.223848963,7.327540332,7.356160023,7.389636965,7.349708741,7.43962706
b1349,TI83333S001312,CDS,"Rac prophage; recombinase, DNA renaturation","recombinase, DNA renaturation","Escherichia coli K12, complete genome.",NC_000913,1412008-1412817,b1349,7.810817782,7.722111556,7.764803022,8.048644171,8.009070341,8.088535422
b1350,TI83333S001313,CDS,"Rac prophage; exonuclease VIII, ds DNA exonuclease, 5' -> 3'-specific","exonuclease VIII, ds DNA exonuclease, 5' --> 3' specific; go_component: cytoplasm [goid 0005737]; go_process: DNA catabolism [goid 0006308]; go_process: DNA repair [goid 0006281]; go_process: DNA catabolism [goid 0006308]","Escherichia coli K12, complete genome.",NC_000913,1412810-1415410,b1350,8.356235682,8.416227786,8.438040689,8.557632719,8.632798957,8.659477929
b1351,TI83333S001314,CDS,Rac prophage; contains recE and oriJ,RacC protein,"Escherichia coli K12, complete genome.",NC_000913,1415512-1415787,b1351,6.475834658,6.402553394,6.453321489,6.524406237,6.487725247,6.511801133
b1352,TI83333S001315,CDS,Kil protein (killing function) of lambdoid prophage Rac,EcoGene suggests alternate start codon; Rac prophage; inhibitor of ftsZ,"Escherichia coli K12, complete genome.",NC_000913,1416032-1416265,b1352,8.549803369,8.653482889,8.65611018,8.764313164,8.810983933,8.824475252
b1353,TI83333S001316,CDS,Rac prophage; phage superinfection exclusion protein,EcoGene suggests alternate start codon; phage superinfection exclusion protein,"Escherichia coli K12, complete genome.",NC_000913,1416572-1417183,b1353,6.249048778,6.217170462,6.214079697,6.232863144,6.214899773,6.224467962
b1354,TI83333S001317,CDS,Rac prophage,,"Escherichia coli K12, complete genome.",NC_000913,1417192-1417368,b1354,7.450369042,7.488681588,7.501307696,7.545567641,7.634014997,7.540215754
b1355,TI83333S001318,CDS,Rac prophage,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1417346-1417525,b1355,8.161074873,8.087633817,8.215139577,8.545835974,8.384475016,8.339042829
b1356,TI83333S001319,CDS,Rac prophage repressor,Rac prophage; putative prophage repressor,"Escherichia coli K12, complete genome.",NC_000913,1417789-1418265,b1356,13.25705961,12.54530459,12.79181124,12.77822472,12.66541907,12.6888733
b1357,TI83333S001320,CDS,Rac prophage; repressor protein,,"Escherichia coli K12, complete genome.",NC_000913,1418389-1418685,b1357,8.144059491,8.181905482,8.242681459,8.290699475,8.36874958,8.25649389
b1358,TI83333S001321,CDS,Rac prophage,,"Escherichia coli K12, complete genome.",NC_000913,1418708-1419130,b1358,9.420669082,9.473844133,9.55903158,9.66900817,9.858559889,9.753597956
b1359,TI83333S001322,CDS,Rac prophage,,"Escherichia coli K12, complete genome.",NC_000913,1419143-1420000,b1359,8.425550045,8.394738453,8.397181589,8.573730578,8.539626768,8.570797759
b1360,TI83333S001323,CDS,DNA replication protein DnaC,acts to load the DnaB helicase onto the intiation site durning DNA replication,"Escherichia coli K12, complete genome.",NC_000913,1420007-1420753,b1360,10.98834303,10.87267855,11.031015,11.16082297,11.30424989,11.32184923
b1361,TI83333S001324,CDS,Rac prophage; putative transcriptional regulator,,"Escherichia coli K12, complete genome.",NC_000913,1420725-1421336,b1361,8.991732868,8.94098998,9.05495692,9.197196694,9.414408369,9.305233998
b1362,TI83333S001325,CDS,Rac prophage; putative prophage lambda endopeptidase,EcoGene suggests alternate start codon; putative Rac prophage endopeptidase,"Escherichia coli K12, complete genome.",NC_000913,1421363-1421668,b1362,8.125120122,7.97020761,7.9782196,8.049871062,8.498911035,8.342752586
b1363,TI83333S001326,CDS,Rac prophage; Trk system potassium uptake,trk system potassium uptake protein; go_component: inner membrane [goid 0019866],"Escherichia coli K12, complete genome.",NC_000913,1421806-1423263,b1363,10.88356998,11.16162241,11.11255917,10.75813029,10.7464275,10.82272587
b1364,TI83333S001327,CDS,Rac prophage,,"Escherichia coli K12, complete genome.",NC_000913,1423202-1423483,b1364,6.905394418,7.622773841,7.427969466,6.486131556,6.546237679,6.441786573
b1365,TI83333S001328,CDS,Rac prophage,,"Escherichia coli K12, complete genome.",NC_000913,1423401-1423664,b1365,10.29573307,10.40429628,10.46248869,10.50253913,10.66973758,10.50454897
b1366,TI83333S001329,CDS,Rac prophage,,"Escherichia coli K12, complete genome.",NC_000913,1423645-1424004,b1366,6.749723887,6.86736309,6.852564028,6.758422374,6.744321341,6.724981969
b1367,TI83333S001330,CDS,Rac prophage,,"Escherichia coli K12, complete genome.",NC_000913,1424079-1424312,b1367,6.964405886,7.050469726,7.061660449,7.128249172,7.201895715,7.151168065
b1368,TI83333S001331,CDS,Rac prophage; putative tail protein,putative alpha helix protein,"Escherichia coli K12, complete genome.",NC_000913,1424478-1425506,b1368,11.10896927,11.00514873,11.18529658,11.28974917,11.47488607,11.39392595
b1369,TI83333S001332,CDS,Rac prophage; putative outer membrane protein,,"Escherichia coli K12, complete genome.",NC_000913,1425482-1425637,b1369,12.31881226,12.49539015,12.53780496,12.67001571,12.76509789,12.75681504
b1370,TI83333S001333,CDS,IS5Y transposase,Rac prophage; IS5 protein,"Escherichia coli K12, complete genome.",NC_000913,1425770-1426750,b1370,13.60553133,13.58577096,13.64287588,13.63676699,13.64004395,13.56890264
b1371,TI83333S001334,CDS,Rac prophage; putative outer membrane protein,,"Escherichia coli K12, complete genome.",NC_000913,1426547-1427008,b1371,11.98353334,11.9771705,12.06017661,12.21259126,12.38938534,12.38725764
b1372,TI83333S001335,CDS,Rac prophage; putative tail fiber protein,EcoGene suggests alternate start codon; side tail fiber protein homolog from lambdoid prophage Rac,"Escherichia coli K12, complete genome.",NC_000913,1427067-1430435,b1372,9.841083586,9.798062036,9.918611998,10.10209263,10.14857658,10.08850084
b1373,TI83333S001336,CDS,Rac prophage; putative tail fiber assembly,tail fiber assembly protein homolog from lambdoid prophage Rac,"Escherichia coli K12, complete genome.",NC_000913,1430435-1431010,b1373,8.308068315,8.261722885,8.091780653,8.447285666,8.517723796,8.407997815
b1374,TI83333S001337,CDS,Rac prophage; putative transposon resolvase,putative DNA-invertase from lambdoid prophage Rac,"Escherichia coli K12, complete genome.",NC_000913,1431108-1431698,b1374,9.295071099,9.285616603,9.211152622,9.327270401,9.433171594,9.202389644
b1375,TI83333S001338,CDS,Rac prophage,,"Escherichia coli K12, complete genome.",NC_000913,1432015-1432281,b1375,12.04942586,12.12039232,12.09139487,12.29098054,12.28227524,12.11215787
b1376,TI83333S001339,CDS,"conserved hypothetical protein, adenine nucleotide-binding domain",EcoGene suggests alternate start codon; putative filament protein,"Escherichia coli K12, complete genome.",NC_000913,1433209-1433715,b1376,14.79881568,12.9550724,13.04258136,14.7600826,14.74331019,15.0445188
b1377,TI83333S001340,CDS,"outer membrane pore protein N, non-specific",outer membrane porin; go_component: external outer membrane (sensu Gram-negative Bacteria) [goid 0009279],"Escherichia coli K12, complete genome.",NC_000913,1433784-1434917,b1377,7.877122837,7.762955606,7.887011987,7.897981382,8.011896073,8.069409827
b1378,TI83333S001341,CDS,"putative oxidoreductase, Fe-S subunit","putative pyruvate-flavodoxin oxidoreductase, Fe-S subunit","Escherichia coli K12, complete genome.",NC_000913,1435284-1438808,b1378,12.57998374,12.47614624,12.25367156,12.48924721,12.60276153,12.6314157
b1379,TI83333S001342,CDS,heat shock protein hslJ,go_process: response to temperature [goid 0009266],"Escherichia coli K12, complete genome.",NC_000913,1439345-1439767,b1379,13.08478806,13.25385394,13.34748551,13.31853062,13.38280393,13.43285425
b1380,TI83333S001343,CDS,D-lactate dehydrogenase,"Catalyzes the reduction of sulfopyruvate to (R)-sulfolactate much more efficiently than the reverse reaction. Also catalyzes the reduction of oxaloacetate, alpha-ketoglutarate, and to a much lower extent, KHTCA, but not pyruvate. Involved in the biosynthes; go_process: fermentation [goid 0006113]","Escherichia coli K12, complete genome.",NC_000913,1439878-1440867,b1380,11.72121726,11.1111291,11.00774015,11.7367241,11.85816014,11.83565509
b1381,TI83333S001344,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1441075-1443714,b1381,10.68706553,10.59611073,10.62930411,10.68313378,10.78652343,10.77040693
b1382,TI83333S001345,CDS,unknown CDS,,"Escherichia coli K12, complete genome.",NC_000913,1443711-1443896,b1382,10.4985092,10.40980438,10.45864659,10.5495869,10.76281716,10.51685258
b1383,TI83333S001346,CDS,hypothetical protein,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1443898-1444230,b1383,11.29181418,11.1035444,11.13803532,11.18766628,11.22866367,11.19959854
b1384,TI83333S001347,CDS,regulatory protein for 2-phenylethylamine catabolism,transcriptional activator of 2-phenylethylamine catabolism (AraC/XylS family); go_component: cytoplasm [goid 0005737]; go_function: transcriptional activator activity [goid 0016563]; go_process: amino acid catabolism [goid 0009063]; go_process: amine catabolism [goid 0009310]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,1444402-1445307,b1384,7.683979471,8.671970279,8.322331391,7.76672677,7.890929176,7.769806937
b1385,TI83333S001348,CDS,phenylacetaldehyde dehydrogenase,EcoGene suggests alternate start codon; go_process: amine catabolism [goid 0009310]; go_process: nicotinamide adenine dinucleotide biosynthesis [goid 0009435],"Escherichia coli K12, complete genome.",NC_000913,1445540-1447042,b1385,10.31123412,10.52007708,10.50509959,10.31863012,10.36738295,10.3999985
b1386,TI83333S001349,CDS,copper amine oxidase (tyramine oxidase),go_component: periplasmic space [goid 0042597]; go_process: amino acid catabolism [goid 0009063]; go_process: amine catabolism [goid 0009310],"Escherichia coli K12, complete genome.",NC_000913,1447100-1449373,b1386,9.6378829,9.539904672,9.579611937,9.736321762,9.983253016,9.851680877
b1387,TI83333S001350,CDS,phenylacetic acid degradation protein; putative aldehyde dehydrogenase,"putative aldehyde dehydrogenase, putative phenylacetic acid degradation protein; go_process: carbohydrate catabolism [goid 0016052]","Escherichia coli K12, complete genome.",NC_000913,1449621-1451666,b1387,8.724488056,8.801868358,8.82918746,8.926780907,8.934672218,8.964049456
b1388,TI83333S001351,CDS,phenylacetic acid degradation protein,"putative phenylacetic acid degradation protein, possibly part of multicomponent oxygenase; go_process: carbohydrate catabolism [goid 0016052]","Escherichia coli K12, complete genome.",NC_000913,1451951-1452880,b1388,8.180677135,8.267276243,8.247779543,8.303475015,8.225375761,8.296466249
b1389,TI83333S001352,CDS,phenylacetic acid degradation protein,"putative phenylacetic acid degradation protein, possibly part of multicomponent oxygenase; go_process: carbohydrate catabolism [goid 0016052]","Escherichia coli K12, complete genome.",NC_000913,1452892-1453179,b1389,7.660173847,7.630809474,7.681906912,7.638881883,7.788767204,7.678171485
b1390,TI83333S001353,CDS,phenylacetic acid degradation protein,"putative phenylacetic acid degradation protein, possibly part of multicomponent oxygenase; go_process: carbohydrate catabolism [goid 0016052]","Escherichia coli K12, complete genome.",NC_000913,1453188-1453934,b1390,8.171446529,8.141023157,8.180618194,8.120372233,8.180748001,8.190080481
b1391,TI83333S001354,CDS,phenylacetic acid degradation protein,"putative phenylacetic acid degradation protein, possibly part of multicomponent oxygenase; go_process: carbohydrate catabolism [goid 0016052]","Escherichia coli K12, complete genome.",NC_000913,1453943-1454446,b1391,7.977950449,7.809561046,7.915957537,7.903550455,8.035203189,8.022206139
b1392,TI83333S001355,CDS,probable phenylacetic acid degradation NADH oxidoreductase,"putative phenylacetic acid degradation protein, putative NAD/FAD oxidoreductase; go_process: carbohydrate catabolism [goid 0016052]","Escherichia coli K12, complete genome.",NC_000913,1454454-1455524,b1392,7.8877648,7.907362703,7.981081747,7.841504212,7.985647536,7.946080715
b1393,TI83333S001356,CDS,probable enoyl-CoA hydratase,putative enoyl-CoA hydratase-isomerase in phenylacetic acid degradation; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,1455521-1456288,b1393,8.340751472,8.392932991,8.461677589,8.432534124,8.406304231,8.510209816
b1394,TI83333S001357,CDS,enoyl-CoA hydratase,Catalyzes the reversible hydration of unsaturated fatty acyl-CoA to beta-hydroxyacyl-CoA; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,1456288-1457076,b1394,8.024319042,8.057193322,8.184593031,8.061031772,8.204640028,8.103707343
b1395,TI83333S001358,CDS,3-hydroxybutyryl-CoA dehydrogenase,Converts (S)-3-hydroxybutanoyl-CoA to 3-acetoacetyl-CoA; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,1457078-1458505,b1395,10.65889083,10.70946451,10.83736315,10.89734931,11.08282805,11.03535889
b1396,TI83333S001359,CDS,phenylacetic acid degradation protein,putative phenylacetic acid degradation protein; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,1458495-1458917,b1396,7.895078021,7.958363821,8.014732022,8.072732285,8.055997687,8.209594006
b1397,TI83333S001360,CDS,acetyl-CoA acetyltransferase,"Catalyzes the synthesis of acetoacetyl coenzyme A from two molecules of acetyl coenzyme A. It can also act as a thiolase, catalyzing the reverse reaction and generating two-carbon units from the four-carbon product of fatty acid oxidation; go_process: carbohydrate catabolism [goid 0016052]","Escherichia coli K12, complete genome.",NC_000913,1458917-1460122,b1397,9.686912126,9.800385208,9.891016295,9.690689106,9.747306846,9.806775384
b1398,TI83333S001361,CDS,phenylacetate-CoA ligase,putative phenylacetyl-CoA ligase of phenylacetic acid degradation; go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,1460149-1461462,b1398,8.870548392,9.272384711,9.169037651,8.727141332,8.85045461,8.771703642
b1399,TI83333S001362,CDS,transcriptional repressor for phenylacetic acid degradation,go_process: carbohydrate catabolism [goid 0016052],"Escherichia coli K12, complete genome.",NC_000913,1461563-1462513,b1399,11.45748815,11.12738626,11.15257514,11.40486246,11.50585562,11.49116546
b1400,TI83333S001363,CDS,phenylacetic acid degradation protein; putative transferase,"putative acyl transferase, iron-binding","Escherichia coli K12, complete genome.",NC_000913,1462495-1463085,b1400,11.92978058,11.38370958,11.42058396,11.78896296,11.87402625,11.89028728
b1406,TI83333S001364,CDS,putative dehydrogenase,"putative oxidoreductase, NAD(P)-linked","Escherichia coli K12, complete genome.",NC_000913,1472245-1473105,b1406,10.87996406,10.5622717,10.58343652,10.69687095,10.64747389,10.81573645
b1407,TI83333S001365,CDS,hypothetical protein,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1473162-1475474,b1407,8.535767668,8.470543933,8.58584138,8.615391216,8.749704394,8.703072522
b1408,TI83333S001366,CDS,putative enzyme,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1475639-1476250,b1408,7.702029297,7.712469885,7.852471367,7.894767223,8.036367182,8.074815618
b1409,TI83333S001367,CDS,putative phosphatidate cytidiltransferase,"go_process: nucleobase, nucleoside and nucleotide interconversion [goid 0015949]","Escherichia coli K12, complete genome.",NC_000913,1476250-1477146,b1409,9.09058883,9.245192834,9.203019724,9.228169568,9.406151031,9.317947393
b1410,TI83333S001368,CDS,putative methylase,,"Escherichia coli K12, complete genome.",NC_000913,1477162-1478919,b1410,9.546528376,9.400038295,9.53221063,9.618634842,9.653850362,9.757826217
b1411,TI83333S001369,CDS,putative enzyme,,"Escherichia coli K12, complete genome.",NC_000913,1478933-1480225,b1411,9.472399821,9.404030881,9.473264057,9.48901527,9.550680388,9.587413231
b1412,TI83333S001370,CDS,acyl carrier protein phosphodiesterase,catalyzes the hydrolytic cleavage of the 4'-phosphopantetheine residue from ACP,"Escherichia coli K12, complete genome.",NC_000913,1480279-1480884,b1412,13.48833052,13.69799119,13.8388551,13.06418143,12.76775328,12.70781149
b1413,TI83333S001371,CDS,"helicase, ATP-dependent",EcoGene suggests alternate start codon; go_component: cytoplasm [goid 0005737]; go_process: DNA dependent DNA replication [goid 0006261],"Escherichia coli K12, complete genome.",NC_000913,1481142-1484987,b1413,12.0384328,11.91470122,12.01018027,12.25911797,12.31663441,12.36188961
b1414,TI83333S001372,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1485259-1486059,b1414,12.0220143,11.75051562,11.7049918,12.34748297,12.26869072,12.39170646
b1415,TI83333S001373,CDS,"aldehyde dehydrogenase A, NAD-linked","aldehyde dehydrogenase, NAD-linked; go_process: carbohydrate catabolism [goid 0016052]; go_process: methylglyoxal metabolism [goid 0009438]; go_process: fermentation [goid 0006113]; go_process: glycolate metabolism [goid 0009441]","Escherichia coli K12, complete genome.",NC_000913,1486256-1487695,b1415,14.59510196,14.80368822,14.74475809,13.45900049,13.6651637,13.33075567
b1418,TI83333S001374,CDS,cytochrome b561,EcoGene suggests alternate start codon; go_function: electron carrier activity [goid 0009055]; go_process: cytochrome biogenesis [goid 0017004],"Escherichia coli K12, complete genome.",NC_000913,1488890-1489456,b1418,12.24536232,12.36020938,12.34332114,12.26729481,12.21700858,12.19208891
b1419,TI83333S001375,CDS,unknown CDS,,"Escherichia coli K12, complete genome.",NC_000913,1489701-1489874,b1419,13.68403173,13.4078533,13.41778088,13.65007296,13.604974,13.72781467
b4428,TI83333S001376,CDS,small toxic membrane polypeptide,,"Escherichia coli K12, complete genome.",NC_000913,1489946-1490095,b4428,12.93455314,12.75921194,12.87298168,12.9453341,13.14587289,13.10165562
b1420,TI83333S001377,CDS,regulatory peptide whose translation enables hokB expression,,"Escherichia coli K12, complete genome.",NC_000913,1489986-1490153,b1420,12.21531586,11.86164318,11.8809742,11.98597043,11.95391027,12.02573853
b1421,TI83333S001378,CDS,"methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor","methyl-accepting chemotaxis protein III, ribose sensor receptor; go_component: inner membrane [goid 0019866]; go_process: taxis [goid 0042330]","Escherichia coli K12, complete genome.",NC_000913,1490494-1492134,b1421,9.287043616,9.211433457,9.31236903,9.436504795,9.356955137,9.519764963
b1422,TI83333S001379,CDS,putative transcriptional regulator (LysR familiy),EcoGene suggests alternate start codon; putative transcriptional regulator LYSR-type; go_function: transcriptional activator activity [goid 0016563]; go_function: transcriptional repressor activity [goid 0016564]; go_process: transcription [goid 0006350],"Escherichia coli K12, complete genome.",NC_000913,1492172-1493236,b1422,9.809694116,12.34582809,11.9546652,9.508205349,9.173342254,9.061487691
b1423,TI83333S001380,CDS,hypothetical protein,,"Escherichia coli K12, complete genome.",NC_000913,1493312-1494655,b1423,10.48812329,10.57607609,10.62615843,10.31476891,10.43695561,10.44691661
b1424,TI83333S001381,CDS,putative enzyme,EcoGene suggests alternate start codon; putative glycoprotein; go_component: periplasmic space [goid 0042597]; go_process: response to osmotic stress [goid 0006970],"Escherichia coli K12, complete genome.",NC_000913,1494880-1496535,b1424,10.62316709,11.09335361,11.04162279,11.02038566,10.87619764,10.90098585
b1425,TI83333S001382,CDS,unknown CDS,,"Escherichia coli K12, complete genome.",NC_000913,1496456-1496659,b1425,6.226908239,6.136888166,6.202205752,6.237053539,6.225661329,6.240639585
b1426,TI83333S001383,CDS,hypothetical protein,EcoGene suggests alternate start codon,"Escherichia coli K12, complete genome.",NC_000913,1496732-1496899,b1426,11.65199291,10.69771527,10.49029744,11.51475838,11.09733906,11.37091786
